location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price,district,street,house_number,underground,residential_complex,year_of_construction,living_meters,kitchen_meters
Московская область,sale,flat,3,18,2,48.5,35800507.0,Донской,2-й Донской проезд,10,Ленинский проспект,SHIFT,2028,-1,-1
Московская область,sale,flat,3,6,3,138.0,129000000.0,Тверской,1-й Колобовский переулок,14,Трубная,,2005,-1,15 м²
Московская область,sale,flat,2,5,3,207.4,435330900.0,Тверской,Никольская ,10/2С2б,Лубянка,St. Nickolas,2015,-1,20 м²
Московская область,sale,flat,21,40,3,84.2,38500000.0,Даниловский,бульвар Братьев Весниных,1,ЗИЛ,ЗИЛАРТ,2023,60 м²,20 м²
Московская область,sale,flat,16,24,3,91.0,22800000.0,Южное Бутово,Скобелевская ,5К1,Улица Скобелевская,,-1,45 м²,12 м²
Москва,sale,flat,14,18,4,138.5,158765458.0,Донской,2-й Донской проезд,10,Ленинский проспект,SHIFT,2028,-1,-1
Москва,sale,flat,3,9,4,130.0,205000000.0,Хамовники,Саввинская набережная,13,Киевская,SAVVIN RIVER RESIDENCE,2021,-1,10 м²
Москва,sale,flat,3,20,4,102.4,18953124.0,,,3,Филатов Луг,Город-парк Первый Московский,2027,"47,4 м²",-1
Москва,sale,flat,59,67,4,131.0,137550000.0,Пресненский,Краснопресненская набережная,14Ак2,Москва-Сити,Capital Towers,-1,-1,15 м²
Москва,sale,flat,11,17,1,37.6,10800000.0,, Бориса Пастернака,49,Мичуринец,,2019,-1,"9,1 м²"
Москва,sale,flat,10,14,1,35.1,11250000.0,Чертаново Северное,Чертановская ,7К2,Южная,,1969,-1,9 м²
Москва,sale,flat,46,53,1,47.4,21396170.0,Свиблово,проезд Серебрякова,11-13к1,Ботанический сад,Afi Tower,2024,-1,-1
Москва,sale,flat,3,5,1,46.3,41670000.0,Замоскворечье,Озерковская набережная,6,Новокузнецкая,Bogenhouse,-1,32 м²,-1
Москва,sale,flat,4,5,1,33.0,9800000.0,Восточное Измайлово,11-я Парковая ,34,Первомайская,,-1,20 м²,9 м²
